url,url_mobile,title,seendate,socialimage,domain,language,sourcecountry,theme_id,theme_description,target_language
https://www.thenews.com.pk/print/1303464-free-medical-camp-held-in-landikotal,https://www.thenews.com.pk/amp/1303464-free-medical-camp-held-in-landikotal,Free medical camp held in Landikotal,20250420T223000Z,https://www.thenews.com.pk/assets/uploads/akhbar/2025-04-21/l_1303464_023822_updates.jpg,thenews.com.pk,English,Pakistan,GENERAL_HEALTH,Health-related themes,English
https://www.nairaland.com/8388507/man-electrocuted-while-roofing-house,,Man Electrocuted While Roofing A House In Anambra ( Video ) - Health,20250403T220000Z,,nairaland.com,English,Nigeria,GENERAL_HEALTH,Health-related themes,English
https://www.nairaland.com/8392464/crazeclown-reveals-fate-friends-therapy,,Crazeclown reveals fate of friend therapy clinic after relocating to Nigeria - Health,20250408T113000Z,,nairaland.com,English,Nigeria,GENERAL_HEALTH,Health-related themes,English
https://www.nairaland.com/8392072/shave-vagina-area-before-labour,,Shave Your Vagina Area Before Labour Starts - Midwife Advises Pregnant Women - Health,20250407T224500Z,,nairaland.com,English,Nigeria,GENERAL_HEALTH,Health-related themes,English
https://www.nairaland.com/8401284/women-condom-usage,,Women And Condom Usage . - Health,20250417T180000Z,,nairaland.com,English,Nigeria,GENERAL_HEALTH,Health-related themes,English
https://www.nairaland.com/8401926/sex-addiction-tired-infection,,Sex Addiction : I Am Tired Of Infection - Health,20250418T143000Z,,nairaland.com,English,Nigeria,GENERAL_HEALTH,Health-related themes,English
https://www.nairaland.com/8403167/world-liver-day-2025-food,,World Liver Day 2025 : Food Is Medicine - Health,20250419T134500Z,,nairaland.com,English,Nigeria,GENERAL_HEALTH,Health-related themes,English
https://www.nairaland.com/8408519/malaria-ends-us-reinvest-reimagine,,Malaria Ends With Us – Reinvest . Reimagine . Reignite . - Health,20250425T084500Z,,nairaland.com,English,Nigeria,GENERAL_HEALTH,Health-related themes,English
https://www.standard.co.uk/lifestyle/gen-z-characteristics-money-anxiety-b1220559.html,,How Gen Z are you ? The characteristics revealed,20250403T170000Z,https://static.standard.co.uk/2025/04/01/10/13/For-many-Gen-Zs-these-conspiracy-theories-revolve-around-celebrities-1ndn2iss.jpeg?&auto=webp&quality=75,standard.co.uk,English,United Kingdom,GENERAL_HEALTH,Health-related themes,English
https://www.nairaland.com/8383373/nigerian-ladies-share-sad-experiences,,Nigerian Ladies Share Their Sad Experiences With Egg Donation / Selling - Health,20250329T104500Z,,nairaland.com,English,Nigeria,GENERAL_HEALTH,Health-related themes,English
https://www.nairaland.com/8397014/why-should-towel-still-dirty,,Why Should The Towel Still Be Dirty After Taking Bath ? - Health,20250413T190000Z,,nairaland.com,English,Nigeria,GENERAL_HEALTH,Health-related themes,English
https://www.nairaland.com/8393671/lady-dies-after-overhead-water,,Lady Dies After Overhead Water Tanks Fell On Her While She Slept ( Scary Photos ) - Health,20250410T010000Z,,nairaland.com,English,Nigeria,GENERAL_HEALTH,Health-related themes,English
https://www.nairaland.com/8408223/over-11m-people-living-diabetes,,Over 11m People Living With Diabetes In Nigeria - Expert - Health,20250426T191500Z,,nairaland.com,English,Nigeria,GENERAL_HEALTH,Health-related themes,English
https://www.nairaland.com/8401131/missionary-style-isnt-good-during,,Missionary Style Isnt Good During Pregnancy - Nurse Says During Antenatal Class - Health,20250417T180000Z,,nairaland.com,English,Nigeria,GENERAL_HEALTH,Health-related themes,English
https://www.nairaland.com/8403807/two-film-actors-die-after,,"Two Film Actors Die After Eating Rice In Imo , Police Confirms - Health",20250420T180000Z,,nairaland.com,English,Nigeria,GENERAL_HEALTH,Health-related themes,English
https://www.nairaland.com/8406418/which-brand-toothpaste-favourite-picture,,Which Brand Of Toothpaste Is Your Favourite ? Picture - Health,20250423T103000Z,,nairaland.com,English,Nigeria,GENERAL_HEALTH,Health-related themes,English
https://www.nairaland.com/8403939/man-slumps-dies-wifes-60th,,Man Slumps And Dies At His Wife 60th Birthday Thanksgiving In Lagos ( Video ) - Health,20250420T130000Z,,nairaland.com,English,Nigeria,GENERAL_HEALTH,Health-related themes,English
https://www.nairaland.com/8408000/lagos-health-sector-short-33000,,"Lagos Health Sector Short Of 33 , 000 Doctors , 16 , 000 Migrated Prof Abayomi - Health",20250424T161500Z,,nairaland.com,English,Nigeria,GENERAL_HEALTH,Health-related themes,English
https://www.nairaland.com/8400422/medical-practitioner-shares-discovery-hiv,,Medical Practitioner Shares Her Discovery About HIV In Akwa Ibom - Health,20250417T180000Z,,nairaland.com,English,Nigeria,GENERAL_HEALTH,Health-related themes,English
https://www.nairaland.com/8401784/student-commits-suicide-after-catching,,Student Commits Suicide After Catching Girlfriend Cheating On Him ( Photos ) - Health,20250419T134500Z,,nairaland.com,English,Nigeria,GENERAL_HEALTH,Health-related themes,English
https://lancasteronline.com/news/health/lancaster-general-hospital-maintenance-workers-to-vote-on-union/article_cbec14d6-5e64-4c8d-975d-f437c69dafee.html,,Lancaster General Hospital maintenance workers to vote on union,20250418T211500Z,https://bloximages.newyork1.vip.townnews.com/lancasteronline.com/content/tncms/assets/v3/editorial/1/0f/10f68cb0-e073-11ed-a0eb-d3fa841f54bd/6442d710d7e51.image.jpg?crop=1862%2C978%2C0%2C67,lancasteronline.com,English,United States,GENERAL_HEALTH,Health-related themes,English
https://en.antaranews.com/news/351437/free-health-checks-offered-to-nearly-two-mln-people-so-far-ri-govt,,Free health checks offered to nearly two mln people so far : RI Govt,20250411T183000Z,https://cdn.antaranews.com/cache/1200x800/2025/04/11/1000086499.jpg,en.antaranews.com,English,Indonesia,GENERAL_HEALTH,Health-related themes,English
https://www.wwaytv3.com/novant-health-to-provide-free-health-screenings-during-azalea-festival-street-fair/,,Novant Health to provide free health screenings during Azalea Festival street fair,20250402T010000Z,https://www.wwaytv3.com/content/uploads/2025/04/q/y/img-3469-scaled.jpeg,wwaytv3.com,English,United States,GENERAL_HEALTH,Health-related themes,English
https://www.afaqs.com/news/advertising/reliance-general-insurances-new-ad-shows-kids-schooling-on-health-policy-8899796,,Reliance General Insurance new ad shows kids schooling on health policy,20250330T190000Z,https://img-cdn.thepublive.com/fit-in/1200x675/afaqs/media/media_files/2025/03/28/1fRNzGLNDItB30gdGS3o.png,afaqs.com,English,India,GENERAL_HEALTH,Health-related themes,English
https://katv.com/news/local/welding-hvac-other-programs-of-study-to-be-offered-at-ua-hope-texarkana-for-free-katv-news-arkansas-inform-community-engage-learn-environment,,"Welding , HVAC , other programs of study to be offered at UA Hope - Texarkana for free",20250411T204500Z,https://katv.com/resources/media2/16x9/3504/986/0x183/90/5d086cbf-c086-45fd-ae4c-d57fe5be395e-DSC03516.JPG,katv.com,English,United States,GENERAL_HEALTH,Health-related themes,English
https://www.reviewjournal.com/opinion/letters/letter-mental-health-and-the-ccsd-3354258/,https://www.reviewjournal.com/opinion/letters/letter-mental-health-and-the-ccsd-3354258/amp/,Mental health and CCSD | LETTER | Letters,20250421T060000Z,https://www.reviewjournal.com/wp-content/uploads/2025/04/20372648_web1_CCSD_web.jpg,reviewjournal.com,English,United States,GENERAL_HEALTH,Health-related themes,English
https://www.mamamia.com.au/how-to-stop-hair-loss-women/,,"How to stop hair loss in women , according to a trichologist . ",20250407T040000Z,https://new-cdn.mamamia.com.au/mamamia-pwa.appspot.com/mediaLibrary/Mamamia1_1742878359545png_1742878387234.png,mamamia.com.au,English,Australia,GENERAL_HEALTH,Health-related themes,English
https://www.startribune.com/supreme-court-weighs-whether-states-can-cut-off-medicaid-funding-to-planned-parenthood/601313597,,Supreme Court weighs whether states can cut off Medicaid funding to Planned Parenthood,20250401T133000Z,https://arc.stimg.co/startribunemedia/OJDIREWUGFGMPCLGVKWSQ43ELA.jpg?&ar=1.91:1&fit=crop,startribune.com,English,United States,GENERAL_HEALTH,Health-related themes,English
https://www.malaysiakini.com/news/741542,,Health worker on - call allowance increase to be resolved by June : Minister,20250426T100000Z,https://i.newscdn.net/publisher-c1a3f893382d2b2f8a9aa22a654d9c97/2025/04/0527f51d711ee7bd566fc6bf24ccc151.jpg=s600,malaysiakini.com,English,Malaysia,GENERAL_HEALTH,Health-related themes,English
https://www.katc.com/news/local-news/in-your-parish/in-your-parish-headlines-april-8-2025,,"In Your Parish Headlines : April 8 , 2025",20250408T150000Z,,katc.com,English,United States,GENERAL_HEALTH,Health-related themes,English
https://timesofindia.indiatimes.com/astrology/horoscope/april-2025-sagittarius-moon-sign-horoscope/articleshow/119864532.cms,https://timesofindia.indiatimes.com/astrology/horoscope/april-2025-sagittarius-moon-sign-horoscope/amp_articleshow/119864532.cms,"April 2025 Horoscope for Sagittarius Moon Sign : Love , career , health and finance predictions",20250402T140000Z,"https://static.toiimg.com/thumb/msid-119864443,width-1070,height-580,imgsize-62008,resizemode-75,overlay-toi_sw,pt-32,y_pad-40/photo.jpg",timesofindia.indiatimes.com,English,India,GENERAL_HEALTH,Health-related themes,English
https://www.yahoo.com/news/unlv-researchers-discovery-autism-002156581.html,,UNLV researchers make new discovery on autism,20250424T024500Z,https://media.zenfs.com/en/klas_articles_549/6fb02e97a60160fcb419e3a51bda6e47,yahoo.com,English,United States,GENERAL_HEALTH,Health-related themes,English
https://news.sky.com/story/pontins-owner-charged-over-death-of-grandmother-after-ceiling-collapse-13349182,https://news.sky.com/story/amp/pontins-owner-charged-over-death-of-grandmother-after-ceiling-collapse-13349182,Pontins owner charged over death of grandmother after ceiling collapse,20250415T111500Z,https://e3.365dm.com/19/02/1600x900/skynews-pontins-ceiling-collapse_4584500.jpg,news.sky.com,English,United Kingdom,GENERAL_HEALTH,Health-related themes,English
https://www.lancashiretelegraph.co.uk/news/25090127.lancashire-man-charged-pontins-death-2019/,,Lancashire man charged after Pontins death in 2019 | Lancashire Telegraph,20250415T081500Z,https://www.lancashiretelegraph.co.uk/resources/images/19333799.jpg?type=og-image,lancashiretelegraph.co.uk,English,United Kingdom,GENERAL_HEALTH,Health-related themes,English
https://www.thestatesman.com/cities/cm-rekha-gupta-holds-meeting-to-accelerate-distribution-of-ayushman-cards-1503421248.html,https://www.thestatesman.com/cities/cm-rekha-gupta-holds-meeting-to-accelerate-distribution-of-ayushman-cards-1503421248.html/amp,CM Rekha Gupta holds meeting to accelerate distribution of Ayushman cards,20250416T201500Z,https://www.thestatesman.com/wp-content/uploads/2025/04/Rekha-Gupta-Delhi-jpg.webp,thestatesman.com,English,India,GENERAL_HEALTH,Health-related themes,English
https://www.tvguide.co.uk/schedule/d72f0d16-305c-59d9-9519-4ad0789451e7/botched,,Botched - ITVBe HD | TV Guide,20250402T171500Z,https://tv.assets.pressassociation.io/1af095bd-8586-5387-add3-4a89e73c46fa.jpg,tvguide.co.uk,English,United Kingdom,GENERAL_HEALTH,Health-related themes,English
https://www.tvguide.co.uk/schedule/4b0ecfd3-8c94-5baa-a196-259f0b021bc1/botched,,Botched - ITVBe | TV Guide,20250401T163000Z,https://tv.assets.pressassociation.io/1af095bd-8586-5387-add3-4a89e73c46fa.jpg,tvguide.co.uk,English,United Kingdom,GENERAL_HEALTH,Health-related themes,English
https://www.tvguide.co.uk/schedule/4e8cfcad-0ed4-5741-8fe0-cf6670a62d94/botched,,Botched - ITVBe HD | TV Guide,20250409T154500Z,https://tv.assets.pressassociation.io/1af095bd-8586-5387-add3-4a89e73c46fa.jpg,tvguide.co.uk,English,United Kingdom,GENERAL_HEALTH,Health-related themes,English
https://www.tvguide.co.uk/schedule/d680b2ef-d14c-5c52-bfcb-61035e237460/botched,,Botched - ITVBe | TV Guide,20250405T171500Z,https://tv.assets.pressassociation.io/1af095bd-8586-5387-add3-4a89e73c46fa.jpg,tvguide.co.uk,English,United Kingdom,GENERAL_HEALTH,Health-related themes,English
https://www.tvguide.co.uk/schedule/05a2e3f9-0ce5-5ae6-aa85-1caabdcd92fb/botched,,Botched - ITVBe HD | TV Guide,20250405T171500Z,https://tv.assets.pressassociation.io/1af095bd-8586-5387-add3-4a89e73c46fa.jpg,tvguide.co.uk,English,United Kingdom,GENERAL_HEALTH,Health-related themes,English
