url,url_mobile,title,seendate,socialimage,domain,language,sourcecountry,theme_id,theme_description,target_language
https://www.cbc.ca/radio/asithappens/nardwuar-2024-canadian-election-1.7518888,https://www.cbc.ca/amp/1.7518888,Nardwuar the Human Serviette desperately wants to play Hip Flip with Pierre Poilievre,20250426T174500Z,https://i.cbc.ca/1.7518994.1745615734!/fileImage/httpImage/image.jpg_gen/derivatives/16x9_1180/poilievre-vs-nardwuar.jpg?im=Resize%3D620,cbc.ca,English,Canada,LEADER,References to leadership figures,English
https://thehill.com/homenews/campaign/5268750-mccarthy-democratic-party-civil-war/,https://thehill.com/homenews/campaign/5268750-mccarthy-democratic-party-civil-war/amp/,Kevin McCarthy likens Democratic infighting to  civil war  ,20250426T041500Z,https://thehill.com/wp-content/uploads/sites/2/2023/12/McCarthyKevin_121423ap2.jpg,thehill.com,English,United States,LEADER,References to leadership figures,English
https://www.bnnbloomberg.ca/federal-election-2025/2025/04/26/i-reject-them-completely-carney-on-blanchets-remarks-calling-canada-artificial-country/,,Canada election 2025 : Blanchet stands by  artificial country  remarks,20250426T183000Z,https://www.bnnbloomberg.ca/resizer/v2/7E2U5X7HORDVLB3GKT6ACPC67E.JPG?smart=true&auth=5b0f57f06b4048c92c98ae82988d37ad267e780b75f499a314782e3109beef8b,bnnbloomberg.ca,English,Canada,LEADER,References to leadership figures,English
https://www.nairaland.com/8409747/tories-mull-replacing-kemi-badenoch,,Tories Mull Replacing Kemi Badenoch As Party Leader After Poor Ratings - Foreign Affairs,20250426T191500Z,,nairaland.com,English,Nigeria,LEADER,References to leadership figures,English
https://www.cbc.ca/news/politics/party-leaders-battlegrounds-election-1.7519605,https://www.cbc.ca/amp/1.7519605,"Party leaders campaign in Ontario , B . C . battlegrounds as election day nears",20250426T181500Z,https://i.cbc.ca/1.7492149.1742849569!/fileImage/httpImage/image.jpg_gen/derivatives/16x9_1180/poilievre-carney-singh-composite-for-radio-push-alert-only.jpg?im=Resize%3D620,cbc.ca,English,Canada,LEADER,References to leadership figures,English
https://timesofindia.indiatimes.com/india/felt-trapped-isolated-rahul-gandhi-on-why-he-led-bharat-jodo-yatra/articleshow/120645537.cms,https://timesofindia.indiatimes.com/india/felt-trapped-isolated-rahul-gandhi-on-why-he-led-bharat-jodo-yatra/amp_articleshow/120645537.cms,  Felt trapped & isolated : Rahul Gandhi on why he led Bharat Jodo Yatra | India News,20250426T130000Z,"https://static.toiimg.com/thumb/msid-120646154,width-1070,height-580,imgsize-914329,resizemode-75,overlay-toi_sw,pt-32,y_pad-40/photo.jpg",timesofindia.indiatimes.com,English,India,LEADER,References to leadership figures,English
https://torontosun.com/news/national/federal_elections/party-leaders-have-packed-itineraries-today-as-election-day-nears,,Party leaders have packed itineraries today as election day nears,20250426T160000Z,,torontosun.com,English,Canada,LEADER,References to leadership figures,English
https://www.cp24.com/federal-election-2025/2025/04/26/carney-poilievre-singh-hold-campaign-events-in-final-push-for-votes-live-updates-here/,,Canada election 2025 : Carney slams people who claim Canada is not a real country,20250426T211500Z,https://www.cp24.com/resizer/v2/CQT2AFPP5RAB7FFX7UD3FIPDCQ.jpg?smart=true&auth=ff8ea35ab738f9a00aa7ac24344b3c35b226770d4d0f5da597ec94e68664c250,cp24.com,English,Canada,LEADER,References to leadership figures,English
https://www.winnipegfreepress.com/business/2025/04/26/party-leaders-have-packed-itineraries-today-as-election-day-nears,,Party leaders have packed itineraries today as election day nears – Winnipeg Free Press,20250426T114500Z,,winnipegfreepress.com,English,Canada,LEADER,References to leadership figures,English
https://www.theglobeandmail.com/politics/article-federal-party-leaders-final-weekend-election-campaign/,,Federal party leaders target close ridings in final election campaign sprint,20250426T180000Z,https://www.theglobeandmail.com/resizer/v2/YZPHR34WIJF5LBFNEQQ3A3OJI4.jpg?auth=904f78702f6c612a7dad56621b066331359050453ef7611ac0d861849973d13a&quality=80&smart=true,theglobeandmail.com,English,Canada,LEADER,References to leadership figures,English
https://www.dailyexcelsior.com/important-that-india-stands-united-against-terror-rahul/,,Important that India stands united against terror : Rahul,20250426T003000Z,https://cdndailyexcelsior.b-cdn.net/wp-content/uploads/2025/04/page1-3-21.jpg,dailyexcelsior.com,English,India,LEADER,References to leadership figures,English
https://www.bnnbloomberg.ca/federal-election-2025/2025/04/26/blanchet-doubles-down-on-artificial-country-as-carney-singh-slam-his-remarks-live-updates-here/,,Canada election 2025 : Carney slams people who claim Canada is not a real country,20250426T183000Z,https://www.bnnbloomberg.ca/resizer/v2/CQT2AFPP5RAB7FFX7UD3FIPDCQ.jpg?smart=true&auth=ff8ea35ab738f9a00aa7ac24344b3c35b226770d4d0f5da597ec94e68664c250,bnnbloomberg.ca,English,Canada,LEADER,References to leadership figures,English
https://www.wcnc.com/article/news/nation-world/iran-us-tensions-explainer/507-e9cc4f50-e34c-408e-98a1-dde3bf2dd9d8,,Iran - US nuclear talks resume in Oman this weekend,20250426T120000Z,https://media.wcnc.com/assets/CCT/images/fe660666-9418-4a24-a83a-326d371a6bed/20250426T063923/fe660666-9418-4a24-a83a-326d371a6bed_1140x641.jpg,wcnc.com,English,United States,LEADER,References to leadership figures,English
https://en.interfax.com.ua/news/general/1066970.html,https://en.interfax.com.ua/news/general/1066970-amp.html,"Putin victory impossible , because it to be failure of united states as world leader – Zelenskyy",20250426T154500Z,https://media.interfax.com.ua/media/thumbs/images/2024/11/tmjkh/jh2ewwmJ-RZB.jpg,en.interfax.com.ua,English,Ukraine,LEADER,References to leadership figures,English
https://economictimes.indiatimes.com/news/politics-and-nation/democratic-politics-have-fundamentally-changed-globally-says-rahul-gandhi/articleshow/120646862.cms,https://m.economictimes.com/news/politics-and-nation/democratic-politics-have-fundamentally-changed-globally-says-rahul-gandhi/amp_articleshow/120646862.cms,"Democratic politics have fundamentally changed globally , says Rahul Gandhi",20250426T131500Z,"https://img.etimg.com/thumb/msid-120646871,width-1200,height-630,imgsize-218354,overlay-economictimes/articleshow.jpg",economictimes.indiatimes.com,English,India,LEADER,References to leadership figures,English
https://www.therecord.com/business/party-leaders-have-packed-itineraries-today-as-election-day-nears/article_ecd192cd-c090-54c2-a89d-7bd6cb1ab3b7.html,,Party leaders have packed itineraries today as election day nears,20250426T133000Z,https://bloximages.chicago2.vip.townnews.com/therecord.com/content/tncms/assets/v3/editorial/8/c2/8c234e34-135a-5dfe-ab9a-2d369d4f9cf2/680cb10bd8de8.image.jpg?crop=1476%2C775%2C0%2C152,therecord.com,English,Canada,LEADER,References to leadership figures,English
https://www.express.co.uk/news/world/2046917/donald-trump-body-language-zelensky-meeting,https://www.express.co.uk/news/world/2046917/donald-trump-body-language-zelensky-meeting/amp,Trump  ignored  in awkward moment as Starmer and Macron rally around Zelensky,20250426T121500Z,https://cdn.images.express.co.uk/img/dynamic/78/1200x630/6120973.jpg,express.co.uk,English,United Kingdom,LEADER,References to leadership figures,English
https://www.tribuneindia.com/news/india/democratic-politics-have-fundamentally-changed-globally-says-rahul-gandhi/,https://www.tribuneindia.com/news/india/democratic-politics-have-fundamentally-changed-globally-says-rahul-gandhi/amp,"Democratic politics have fundamentally changed globally , says Rahul Gandhi",20250426T133000Z,https://www.tribuneindia.com/sortd-service/imaginary/v22-01/jpg/large/high?url=dGhldHJpYnVuZS1zb3J0ZC1wcm8tcHJvZC1zb3J0ZC9tZWRpYTg5NmIzMmQwLTIyOTktMTFmMC04NDBiLTBkMWUyZGMyZWRkYi5qcGc=,tribuneindia.com,English,India,LEADER,References to leadership figures,English
https://www.theglobeandmail.com/canada/article-where-the-major-federal-party-leaders-are-spending-the-final-days-of/,,Where the major federal party leaders are spending the final days of the election campaign,20250426T130000Z,https://www.theglobeandmail.com/resizer/v2/BT4MLQJWGZCNVELFJ34WKT5KM4.jpg?auth=fc4281273110dad2f442616bc15376e1c343c8696aa562b048587e571d1a115e&quality=80&smart=true,theglobeandmail.com,English,Canada,LEADER,References to leadership figures,English
https://economictimes.indiatimes.com/news/defence/north-koreas-kim-attends-ceremony-for-launching-new-5000-tonne-warship/articleshow/120633687.cms,https://m.economictimes.com/news/defence/north-koreas-kim-attends-ceremony-for-launching-new-5000-tonne-warship/amp_articleshow/120633687.cms,"North Korea Kim attends ceremony for launching new 5 , 000 - tonne warship",20250426T021500Z,"https://img.etimg.com/thumb/msid-120633856,width-1200,height-630,imgsize-138412,overlay-etdefence/articleshow.jpg",economictimes.indiatimes.com,English,India,LEADER,References to leadership figures,English
https://www.lapresse.ca/elections-federales/2025-04-25/des-milliers-de-kilometres-en-pays-bloquiste.php,,Des milliers de kilomètres en pays bloquiste,20250426T014500Z,https://mobile-img.lpcdn.ca/v2/924x/r3996/6820957cbeb0301899e464047a8bcc9b.jpg,lapresse.ca,French,Canada,LEADER,References to leadership figures,French
https://www.francebleu.fr/emissions/l-info-d-ici-ici-limousin/limoges-apres-35-ans-en-cuisine-le-chef-philippe-redon-passe-le-relai-1349166,,"Limoges  : après 35 ans en cuisine , le chef Philippe Redon passe le relai",20250426T084500Z,https://www.francebleu.fr/s3/cruiser-production-eu3/2025/04/ba7b4998-858a-44a6-a814-12b56437f958/1200x680_sc_img-3938.jpg,francebleu.fr,French,France,LEADER,References to leadership figures,French
https://www.lapresse.ca/elections-federales/2025-04-25/elections-pas-declenchees-a-l-automne/singh-ne-regrette-pas-sa-decision.php,,Élections pas déclenchées à lautomne | Singh ne regrette pas sa décision,20250425T224500Z,https://mobile-img.lpcdn.ca/v2/924x/r3996/d977e212a1ea383b95e0bb4874855234.jpg,lapresse.ca,French,Canada,LEADER,References to leadership figures,French
https://www.journaldemontreal.com/2025/04/26/dans-lombre-de-trump-un-choc-historique-a-finir-entre-carney-et-poilievre,,"Dans lombre de Trump , un choc historique à finir entre Carney et Poilievre",20250426T133000Z,https://m1.quebecormedia.com/emp/emp/chronique_NL8065e531-01a5-4e9f-9f2b-efafedfcb2d3_ORIGINAL.jpg?impolicy=crop-resize&x=0&y=0,journaldemontreal.com,French,Canada,LEADER,References to leadership figures,French
https://www.varmatin.com/faits-divers/a-juan-les-pins-un-impressionnant-cortege-de-motards-pour-rendre-hommage-a-michael-rosenvold-chef-des-bandidos-europe-983535,,"À Juan - les - Pins , un impressionnant cortège de motards a rendu hommage à Michael Rosenvold , chef des Bandidos Europe",20250426T164500Z,https://fyooyzbm.filerobot.com/v7/protec/DATA_ART_15412545-Itmrmadp.jpg?vh=9b4f9c&ci_seal=6e790f70f8,varmatin.com,French,France,LEADER,References to leadership figures,French
https://www.lapresse.ca/elections-federales/2025-04-26/pays-artificiel/blanchet-defend-ses-propos-sur-le-canada.php,, Pays artificiel  | Blanchet défend ses propos sur le Canada,20250426T180000Z,https://mobile-img.lpcdn.ca/v2/924x/r3996/c74e6bf7c2713de9b59279fb0d2233ec.jpg,lapresse.ca,French,Canada,LEADER,References to leadership figures,French
https://www.journaldequebec.com/2025/04/25/mark-carney-mene-la-meilleure-campagne-electorale-selon-un-sondage-leger,,"Mark Carney mène la « meilleure campagne électorale », selon un sondage Léger",20250425T231500Z,https://m1.quebecormedia.com/emp/emp/1b5aad30-20cc-11f0-9fad-5fc0365bb50b_ORIGINAL.jpg?impolicy=crop-resize&x=0&y=935,journaldequebec.com,French,Canada,LEADER,References to leadership figures,French
https://senego.com/guinee-bissau-le-chef-des-armees-donne-lordre-de-tirer-sur-toute-personne_1830525.html,,Guinée - Bissau : Le chef des armées donne lordre de tirer sur toute personne,20250426T023000Z,https://senego.com/wp-content/uploads/2025/04/ea1a25eb6170937341ef8daef68536666d9ed8e8.jpeg,senego.com,French,Senegal,LEADER,References to leadership figures,French
https://www.estrepublicain.fr/paroles-de-partenaires/2025/04/26/restaurant-l-imprevu-des-creations-gourmandes-aux-saveurs-de-saison,,Restaurant Limprévu : Le vrai show ? Une cuisine ouverte et des assiettes qui claquent,20250426T023000Z,https://cdn-s-www.estrepublicain.fr/images/CA5AC869-6BAD-418F-B291-3BE02E5ACCF6/FB1200/photo-1745575955.jpg,estrepublicain.fr,French,France,LEADER,References to leadership figures,French
https://fr.allafrica.com/stories/202504260045.html,,Madagascar : Art de la boulangerie - Le talent malgache en lice au Mondial du Pain,20250426T164500Z,,fr.allafrica.com,French,Nigeria,LEADER,References to leadership figures,French
https://www.lalibre.be/lifestyle/food/2025/04/26/on-a-mange-au-hertog-jan-a-anvers-resto-a-la-cuisine-signature-epoustouflante-OTLALXQ4MRGE7B5EDK4AZTOADA/,,"On a mangé au Hertog Jan ** à Anvers , resto à la cuisine signature époustouflante",20250426T113000Z,"https://cloudfront-eu-central-1.images.arcpublishing.com/ipmgroup/3R4IDPARFVEO3L2LC5OCCXQ5RM.png:100:0,557",lalibre.be,French,Belgium,LEADER,References to leadership figures,French
